№;Название объекта культурного наследия;Координата, X;Координата, Y;Адрес;X;Y
74;Жилой дом с участком парка;112008.38;98998.46;2-я Березовая аллея, 28;30.0526600519;60.0953618795
75;Особняк Гаусвальда с тремя службами, участком парка и оградой;111874.59;98939.49;"2-я Березовая аллея, 32; Большая аллея, 12-14";30.0515983251;60.0941614608
76;Приют Ананьевой с участком парка и оградой;112500.78;99303.19;2-я Березовая аллея, 3-5;30.0581446686;60.0997791386
77;Манеж графа Г.И. Рибопьера (Здание Санкт-Петербургского атлетического общества);113545.04;91962.47;2-я Красноармейская ул., 12;29.9261723002;60.109143839
78;Дом И.Ф. Смирнова;112080.49;95083.08;2-я линия В.О., 29, лит. А, Б;29.982289146;60.0960182637
79;Корпус служебный;111822.11;95489.26;2-я линия В.О., 47;29.9895902528;60.0936999584
80;Покойницкая;111795.42;95493.78;2-я линия В.О., 47;29.9896715627;60.0934604083
81;Дом по 2-й Советской ул. с дворовым флигелем;116874.44;93655.86;2-я Советская ул., 27;29.9565804914;60.1390403238
82;АПК №1 КаУР;94487.15;114017.34;300 м на северо-восток от Сестрорецкого кладбища;30.321062036;59.9377181971
83;ДОТ № 123 КаУР;94448.60;114419.87;364 м северо-восточнее от западной границы Сестрорецкого воинского мемориального кладбища, в 125 м восточнее Приморского шоссе и 73 м западнее железной дороги;30.3282587538;59.937354483
84;Павильон на острове;110344.08;98990.63;3-й Южный пруд;30.052495681;60.08042397
85;Флигель жилой;112214.00;94675.63;3-я линия В.О., 2, лит. Б;29.9749650446;60.0972153885
86;Мастерская мозаичная;112257.71;94620.01;3-я линия В.О., 2, лит. И;29.9739650261;60.0976075135
87;Собственный дом архитектора Л.Н.Бенуа;111986.12;95036.09;3-я линия В.О., 20;29.9814450674;60.0951711268
88;Дом Г.А.Бернштейна;116732.71;93843.95;3-я Советская ул., 9, лит. А;29.9599670396;60.1377693048
89;ДОТ № 124 КаУР;94203.70;114196.95;40 м севернее от северной границы Сестрорецкого воинского мемориального кладбища, в 96 м западнее Приморского шоссе;30.3242499428;59.935166214
90;ДОТ № 113 КаУР;93679.04;115141.43;45 м западнее здания по адресу: Санкт-Петербург, г. Сестрорецк, Заречная дорога, д. 3, к. 1, лит. А;30.3410944144;59.9304145149
91;Мастерская батальная;112185.98;94531.58;4-я линия В.О., 1-3, в саду;29.9723761226;60.0969633747
92;Дом Боссе Г.Э.;111950.41;94965.60;4-я линия В.О., 15;29.9801783633;60.0948504251
93;Дом жилой;111936.26;94948.22;4-я линия В.О., 15;29.9798660785;60.0947233737
94;Сад;111963.79;94967.70;4-я линия В.О., 15;29.9802160329;60.0949705232
95;Флигель;111937.79;94975.47;4-я линия В.О., 15;29.9803558209;60.0947371808
96;Ограда с воротами;111914.87;94962.87;4-я линия В.О., 15;29.9801294926;60.0945314277
97;Доходный дом Прохоровых;111880.59;95054.74;4-я линия В.О., 21;29.9817807891;60.0942239876
98;Главный дом;111873.78;95048.58;4-я линия В.О., 21;29.9816701145;60.0941628488
99;Служебный флигель;111913.16;95085.93;4-я линия В.О., 21;29.9823411844;60.0945163973
100;Три флигеля;111901.39;95064.97;4-я линия В.О., 21;29.9819645416;60.0944107039
101;Флигель жилой;112130.12;94626.64;4-я линия В.О., 3, лит. Б;29.974085102;60.0964623512
102;Квартира, где в 1915-1929 гг. жил художник Рылов Аркадий Александрович;111761.94;95262.90;4-я линия В.О., 31, кв. 24 (б. кв. 12);29.9855223639;60.0931595113
103;Жилой флигель;111692.01;95365.05;4-я линия В.О., 39, лит. Б;29.9873584132;60.0925320446
104;Два жилых флигеля;111693.04;95365.87;4-я линия В.О., 39, лит. Б, В;29.9873731461;60.0925412908
105;Жилой флигель;111709.01;95333.83;4-я линия В.О., 39, лит. В;29.9867972867;60.0926845726
106;Дом Форостовского П.П.;111989.06;94888.13;4-я линия В.О., 9;29.9787858026;60.0951971104
107;Дом жилой с зимним садом;111972.81;94879.00;4-я линия В.О., 9;29.9786218069;60.0950512315
108;Палисадник;111963.67;94877.18;4-я линия В.О., 9;29.9785891504;60.0949691899
109;Сад;112003.85;94894.95;4-я линия В.О., 9;29.978908291;60.0953298781
110;Флигели (два);111996.82;94882.18;4-я линия В.О., 9;29.9786788192;60.095266743
111;Ограда с воротами;111962.18;94876.86;4-я линия В.О., 9;29.978583408;60.0949558155
112;Дом Закуриной;113450.79;91752.61;5-я Красноармейская ул., 19;29.9224009415;60.1082957339
113;Дом, в котором с 1880 по 1884 гг. жил Шишкин Иван Иванович;112065.23;94582.75;5-я линия В.О., 10/5;29.9732967229;60.0958797717
114;Дом с флигелем;111940.26;94822.38;5-я линия В.О., 20;29.9776043941;60.0947589082
115;Службы;111934.41;94806.55;5-я линия В.О., 20;29.9773199255;60.0947063524
116;Фабрика братьев Бух и дом с флигелем Ф.А.Гутхейля;111926.73;94809.32;"5-я линия В.О., 20; Волжский пер., 13";29.9773697571;60.0946374291
117;Дом, где жили: в 1862-1863 гг. - писатель Салтыков-Щедрин М.Е., в 1870 г. - художник Репин И.Е., в 1882-1898 гг. - художник Шишкин И.И.;111866.94;94912.98;5-я линия В.О., 30;29.9792331235;60.0941010917
118;Дом жилой Бонштедта М.Э.;111841.28;94947.51;5-я линия В.О., 32;29.9798538447;60.093870877
119;Лечебница для нервнодушевнобольных Бари А.Э.;111547.43;95466.71;5-я линия В.О., 58-60;29.9891858115;60.0912345289
120;Корпус северный;111561.91;95488.81;5-я линия В.О., 58-60;29.9895829199;60.091364527
121;Главное здание;111568.64;95461.94;5-я линия В.О., 58-60;29.9891000274;60.0914248925
122;Флигель;111560.47;95432.36;5-я линия В.О., 58-60;29.9885684798;60.0913515167
123;Корпус южный;111589.47;95445.36;5-я линия В.О., 58-60;29.9888020083;60.0916118272
124;Дом, где в 1840-1844 гг. жил поэт и художник Шевченко Тарас Григорьевич. Здесь с 1875 г. по 1879 г. жил композитор Мусоргский Модест Петрович (кв. 29, 30-б, кв. 25, 26);112084.39;94549.44;"5-я линия В.О., 8; Бугский пер., 1-3; Волжский пер., 1";29.9726978943;60.0960516193
125;Церковь Благовещения Пресвятой Богородицы;116898.71;94014.11;5-я Советская ул., 31-33, лит. А;29.9630275515;60.1392601265
126;Подворье Старо-Афонского Свято-Андреевского мужского скита;116884.53;94003.22;5-я Советская ул., 31-33, лит. А, Б, В;29.962831711;60.1391327993
127;Флигель для монахов;116874.93;94000.56;5-я Советская ул., 31-33, лит. Б;29.9627839377;60.1390466214
128;Ограда и сторожка;116885.37;94034.63;5-я Советская ул., 31-33, лит. В;29.9633969795;60.1391404971
129;ДОТ артиллерийский;116381.15;80983.09;600 м юго-западнее здания по адресу: Московское шоссе, д. 33, лит. А;29.7285510447;60.1343413658
130;Дом З.Н. Левина;113612.2991;91690.8288;6-я Красноармейская ул., 15, лит. А;29.9212866533;60.1097446994
131;Храмовый комплекс;111882.18;94747.12;6-я линия В.О., 11;29.976252161;60.0942373718
132;Ограда;111870.22;94713.68;6-я линия В.О., 11;29.9756512494;60.0941299143
133;Церковь Трех Святителей Вселенских;111871.82;94734.55;6-я линия В.О., 11;29.9760263182;60.0941443443
134;Собор святого апостола Андрея Первозванного;111898.22;94706.33;6-я линия В.О., 11;29.9755189656;60.0943812042
135;Дом Троекурова А.И.;111843.42;94769.08;6-я линия В.О., 13;29.9766470801;60.0938895516
136;ДОТ пулемётный;120582.78;82601.20;70 м западнее здания по адресу: Софийская ул., д. 99, лит. Д;29.7573892626;60.1721090233
137;ДОТ № 223 КаУР;97397.62;116035.35;730 м на юго-запад от здания по адресу: Санкт-Петербург, пос. Белоостров, Новое шоссе, д. 53, лит. А;30.3574394227;59.9637485266
138;Дом Е.Е. Глухарева;113712.1002;91602.0671;7-я Красноармейская ул., 7, лит. А;29.9196884711;60.1106395016
139;Подворье Александро-Невской лавры;111958.55;94486.35;7-я линия В.О., 12;29.971564945;60.0949218994
140;Дом А.В.Пеля с аптекой, химической лабораторией и фабрикой;111911.67;94521.98;7-я линия В.О., 16-18, лит. А;29.9722056666;60.0945012644
141;Квартира, в которой с 1897 г. жил и в 1906 г. умер художественный критик Стасов Владимир Васильевич;116824.76;94319.37;"7-я Советская ул., 11; Суворовский пр., 20, кв. 24";29.9685218904;60.138597821
142;Особняк Г.Ф. Горшкова;116959.27;94282.84;7-я Советская ул., 24, лит. А;29.9678632944;60.1398049506
143;Дом, где жили: в 1871-1886 гг. - химик Бутлеров А.М., в 1867-1880 гг. - химик Зинин Н.Н., в 1887-1911 гг. - физикохимик Бекетов Н.Н.;111827.87;94481.96;8-я линия В.О., 17;29.9714870672;60.0937489616
144;Дом, где жили: в 1855-1858 гг. - композитор Чайковский П.И., в 1861-1914 гг. - географ Семенов-Тян-Шанский П.П., в 1851-1881 гг. - экономист Заблоцкий-Десятовский А.П.;111612.12;94887.58;8-я линия В.О., 39;29.9787781181;60.0918138763
145;Дом А.И. Кракау;111589.00;94937.81;8-я линия В.О., 43, лит. А, Б;29.9796809267;60.0916065056
146;Благовещенское Синодальное подворье с двумя флигелями и оградой;111397.29;95240.53;8-я линия В.О., 61;29.9851218376;60.0898865415
147;Сад;111344.85;95412.98;"8-я линия В.О., 67, 71; 7-я линия В.О., 68; Малый пр. В.О., 18, 20 (между домами)";29.9882209133;60.0894161829
148;Ограда с четырьмя воротами;111328.91;95449.26;"8-я линия В.О., 67, 71; 7-я линия В.О., 68; Малый пр. В.О., 18-20";29.9888729002;60.0892731706
149;Церковь Благовещения Пресвятой Богородицы;111362.73;95362.42;"8-я линия В.О., 67, 71; 7-я линия В.О., 68; Малый пр. В.О., между домами 18 и 20";29.9873123067;60.0895765796
150;Церковь;111399.96;95378.63;"8-я линия В.О., 67; 7-я линия В.О., 68";29.9876034676;60.0899107665
151;Дом П.П. Степнова;116957.70;94426.83;8-я Советская ул., 16/25, лит. А;29.9704547076;60.1397914673
152;ДОТ артиллерийский;123705.27;77845.59;900 м северо-западнее пересечения Усть-Ижорского шоссе и Софийской ул.;29.6714393347;60.1999495048
153;Дом, где в 1901-1907 гг. жил шахматист Чигорин М.И.;112928.44;91824.02;9-я Красноармейская ул., 15;29.9236957635;60.1036081326
154;Дом, где в 1912-1913 гг. проходили заседания объединенной социал-демократической фракции IV Государственной думы;117260.45;94278.87;"9-я Советская ул., 39; Мытнинская ул., 24";29.9677891829;60.1425081604
155;Дом Глуховского А.Н. (Зиновьева);111752.53;97600.40;Адмирала Лазарева наб., 10;30.0275310315;60.0930730585
156;Адмиралтейский бульвар;113199.83;94600.48;Адмиралтейская наб.;29.9736071668;60.106063449
157;Ограда;113204.84;94217.18;Адмиралтейская наб.;29.9667158938;60.1061068501
158;Набережная Адмиралтейская;113192.41;94609.96;Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл.;29.9737776582;60.105996885
159;Спуск Дворцовый со львами и пристанью;113327.70;94722.60;Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл.;29.9758018728;60.10721157
160;Спуск Петровский с вазами и пристанью;113020.62;94458.06;Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл.;29.9710480669;60.104454409
161;Набережная;113161.24;94585.69;Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл.;29.9733415446;60.1057170306
162;Дом, где жили: в 1906-1910 гг. физик Голицин Б.Б., в 1890 г., в 1893 г. - композитор Чайковский П.И.;113216.38;94548.22;"Адмиралтейская наб., 10; Черноморский пер., 7";29.9726674769;60.1062118011
163;Главное Адмиралтейство;113290.53;94496.97;"Адмиралтейская наб., 2, 16; Адмиралтейский пр., 1";29.9717454905;60.1068771394
164;Дворец Великого князя Михаила Михайловича;113248.12;94553.25;"Адмиралтейская наб., 8; Черноморский пер., 4, 5; Азовский пер., 1";29.9727576727;60.1064967024
165;Дворец;113253.22;94568.42;"Адмиралтейская наб., 8; Черноморский пер., 5; Азовский пер., 1";29.9730303751;60.1065425338
166;Александровский сад;113126.31;94288.75;Адмиралтейская наб., Адмиралтейский пр., Дворцовая пл., Адмиралтейский просп., Декабристов пл.;29.9680033183;60.1054023236
167;Здания Государственного Дворянского земельного банка;113164.56;94500.20;Адмиралтейская наб., д. 12-14, лит. А;29.9718045378;60.1057465079
168;"Дом, где в 1866-1870 гг. находилась ""Артель художников"" и жил художник Крамской И.Н.";113342.46;94254.57;"Адмиралтейский пр., 10; Вознесенский пр., 2";29.9673868872;60.1073422271
169;Дом Лобанова-Ростовского А.Я.;113276.01;94168.63;"Адмиралтейский пр., 12; Исаакиевская пл., 2; Вознесенский пр., 1";29.9658423617;60.1067454126
170;Дом Фитингофа И.Ф. (губернские присутственные места);113458.50;94344.45;"Адмиралтейский пр., 6; Гороховая ул., 2";29.9690018871;60.1083841353
171;Ограда;112972.15;94353.14;Адмиралтейский пр., Декабристов пл.;29.9691622458;60.1040189368
172;Сад;113192.62;94324.24;Адмиралтейский пр., Декабристов пл.;29.9686407987;60.105997643
173;"Статуя ""Геракл Фарнезский""";113160.71;94284.99;Адмиралтейский пр., Декабристов пл.;29.9679354175;60.1057110644
174;"Статуя ""Флора Фарнезская""";113495.66;94545.82;Адмиралтейский пр., Декабристов пл.;29.972622229;60.1087184699
175;Фонтан;113370.76;94384.35;Адмиралтейский пр., Декабристов пл.;29.9697200155;60.1075967924
176;Бюст географа Пржевальского Н.М.;113254.55;94297.62;"Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл.";29.9681616667;60.1065533807
177;Бюст композитора Глинки М.И.;113364.65;94406.05;"Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл.";29.9701102211;60.1075420415
178;Бюст писателя Гоголя Н.В.;113487.35;94478.84;"Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл.";29.9714179854;60.1086436267
179;Бюст поэта Жуковского В.А.;113388.77;94400.22;"Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл.";29.9700052022;60.1077585066
180;Бюст поэта Лермонтова М.Ю.;113352.17;94371.94;"Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл.";29.9694970453;60.1074298862
181;Ограда;112043.79;93563.26;Адмиралтейского кан. наб., 33;29.9549735615;60.0956823372
182;Сад;112027.64;93587.03;"Адмиралтейского кан. наб., 33; Ново-Адмиралтейского кан. наб., 6";29.9554009771;60.095537528
183;Дача;112834.01;99843.31;Академика Крылова ул., 4;30.0678595858;60.1027654429
184;Ограда с воротами;112885.36;99783.28;"Академика Крылова ул., 4; Приморский пр., 3; Савушкина ул., 2";30.0667813635;60.1032268817
185;Сад;112805.05;99789.40;"Академика Крылова ул., 4; Приморский пр., 3; Савушкина ул., 2";30.0668899277;60.1025060038
186;Ограда по Приморскому пр.;112767.54;99656.17;"Академика Крылова ул., 4; Приморский пр., 3; Савушкина ул., 2";30.0644942323;60.1021705168
187;Дача Салтыковых;112765.61;99820.19;"Академика Крылова ул., 4; Савушкина ул., 2, 4, 6, 8, 10; Приморский пр., 3";30.0674427104;60.1021517302
188;Квартира, в которой жили в 1924-1934 гг. химик Лебедев Сергей Васильевич, в 1924-1955 гг. художник-график Остроумова-Лебедева Анна Петровна;115881.60;97142.96;Академика Лебедева ул., 10-г, кв. 4;30.0193315299;60.1301349459
189;Академия Императорская Медико-хирургическая (Военно-Медицинская);115493.30;96698.21;Академика Лебедева ул., 2, 4, 6, 8, Боткинская ул., 8, 10, 12, 13, 17, 20, 23, Пироговская наб., 1, 3, Большой Сампсониевский пр., 1, 3,  5, 11, Комиссара Смирнова ул., 10, 12, лит.А., Лесной просп., 2, Клиническая ул., 5, 9;30.0113285013;60.1266506812
190;Здания Императорской Медико-хирургической академии;115944.65;97056.87;"Академика Лебедева ул., 37а, литера И; 37а, литера А; 37б, литера Ж";30.0177829162;60.1307010634
191;Корпус кухонный военно-фельдшерской школы;115578.39;96400.92;Академика Лебедева ул., 4;30.0059804145;60.1274147438
192;Школа военно-фельдшерская;115615.46;96408.40;Академика Лебедева ул., 4;30.0061150413;60.1277474587
193;Дом жилой и прачечная;115581.88;96524.66;Академика Лебедева ул., 4, корп. 2, 3;30.0082065448;60.1274459531
194;"Фонтан ""Гигиея""";115697.52;96664.06;Академика Лебедева ул., 6;30.010714728;60.1284837024
195;Ограда парадного двора;115728.50;96656.92;Академика Лебедева ул., 6;30.0105863601;60.1287617726
196;Главное здание с садом парадного двора;115667.92;96678.79;"Академика Лебедева ул., 6; Боткинская ул., 8";30.0109796475;60.1282180072
197;Анатомический институт;115952.47;97054.35;Академика Лебедева ул., дом 37а, литера А;30.0177376133;60.1307712576
198;Главное здание Ветеринарного института (Хирургический музей);115858.09;96938.27;Академика Лебедева ул., дом 37а, литера И;30.015648688;60.1299244121
199;Часовня при Анатомическом институте;115959.64;97133.32;Академика Лебедева ул., дом 37б, литера Ж;30.0191584908;60.1308354164
200;Ограда;113359.73;98850.97;Академика Павлова ул., 12;30.0500275303;60.1074919531
201;Библиотека;113530.00;98945.19;Академика Павлова ул., 12;30.0517239388;60.1090195631
202;Лаборатория общей патологии;113473.08;98642.79;Академика Павлова ул., 12;30.0462859873;60.1085106803
203;Лаборатория при физиологическом отделении;113428.60;98890.55;Академика Павлова ул., 12;30.0507401031;60.1081098261
204;Отделение физиологическое;113407.39;98892.54;Академика Павлова ул., 12;30.0507755913;60.1079194421
205;Лаборатория химическая;113465.56;98880.40;Академика Павлова ул., 12;30.0505581141;60.1084416299
206;Корпус машинный с водонапорной башней;113394.74;98818.38;Академика Павлова ул., 12;30.0494420485;60.1078064043
207;Деревянное здание оранжереи у дачи В.Ф.Громова с садом, оградой;113111.70;98792.17;Академика Павлова ул., 13;30.048967051;60.1052661532
