№;Название объекта культурного наследия;Координата, X;Координата, Y;Адрес
23;Дом, где в 1912-1941 гг. жил изобретатель парашюта Котельников Г.Е.;111207.63;94614.73;14-я линия В.О., 31-33, лит. А1, А2
24;Комплекс зданий Французского благотворительного общества;111014.95;95026.48;14-я линия В.О., 57-61
25;Сад;110985.86;95000.84;14-я линия В.О., 57-61
26;Ограда;110949.35;94985.38;14-я линия В.О., 57-61
27;Часовня;110935.51;95013.65;14-я линия В.О., 57-61, лит. Е
28;Больница;110986.15;95019.79;14-я линия В.О., 57-61, лит. Л
29;Южный корпус;111009.10;94982.92;14-я линия В.О., 57-61, лит. Л, южный корпус
30;ДОТ № 54 КаУР;100825.93;116295.12;1500 м восточнее пересечения ЗСД (41-й км) и Нового шоссе
31;Дом, в котором в 1867-1868 гг. жил Репин Илья Ефимович;111073.03;94598.49;15-я линия В.О., 30
32;Дом, где с 1865 г. жил и в 1871 г. умер композитор Серов Александр Николаевич (кв. 3, 9 - б.кв.21);111345.37;94232.14;"15-я линия В.О., 8; Большой пр. В.О., 40"
33;Сад;111407.74;94079.90;15-я линия В.О., между домами 2 и 4
34;Дом, где с 1908 г. по 1942 г. жил физиолог Ухтомский Алексей Алексеевич;111064.03;94527.40;16-я линия В.О., 29
35;Заводоуправление;110608.29;95157.65;17-я линия В.О., д. 54, корпус 1, литера В
36;Комплекс построек Подковно-гвоздильного завода Э.Л.Посселя;110589.89;95156.52;"17-я линия В.О., д. 54, корпус 1, литера В; корпус 4, литера А; корпус 5, литера Б; корпус 2, литера Е"
37;Производственный и складской корпус;110570.87;95103.79;17-я линия В.О., д. 54, корпус 2, литера Е
38;Блок цехов (с двумя трубами) и котельная с дымовой трубой;110500.97;95127.16;"17-я линия В.О., д. 54, корпус 4, литера А; корпус 5, литера Б"
39;ДОТ пулемётный;121808.91;83058.94;180 м южнее здания по адресу: Грузовой проезд, д. 31, к. 3, лит. А
40;Офицерское собрание лейб-гвардии Финляндского полка;111201.61;93936.26;18-я линия В.О., 5, лит. А
41;ДОТ № 204 рубежа «Ижора»;119673.27;85046.76;190 м северо-восточнее здания по адресу: ул. Димитрова, д. 43, лит. А
42;"ДОТ № 59 КаУР ""Комсомолец""";100734.10;115009.72;1900 м юго-восточнее пересечения ЗСД (41 км) и Нового шоссе
43;Особняк Криличевской с участком парка;112412.08;98941.27;1-я Березовая аллея, 18
44;Особняк Михина с участком парка и оградой;112548.57;99057.12;1-я Березовая аллея, 5
45;Здание Консисторского управления Могилевской Римско-католической архиепархии с костелом Успения Девы Марии (Духовная семинария Римско-католической архиепархии);113523.70;92117.04;1-я Красноармейская ул., 11, лит. А, Б
46;Здание манежа (экзерциргауса) лейб-гвардии Измайловского полка;113356.94;92092.02;"1-я Красноармейская ул., 13; Измайловский пр., 2-а"
47;Дом, где в начале 1895 г. Ленин В.И. встречался с петербургскими социал-демократами;113455.66;92044.11;1-я Красноармейская ул., 22
48;Дом Леонтьева М.И. (Шуберта Ф.Ф.);112349.41;94748.88;1-я линия В.О., 12
49;Дом А. Сверчкова (Кушелевой);112358.85;94777.36;1-я линия В.О., 14, лит. А
50;Дом жилой;112263.31;94939.32;"1-я линия В.О., 20-а; Большой пр. В.О., 1; 1-я линия В.О., 20-б; Репина ул., 21"
51;Дом Л.В.Измайлова (Е.С.Соловейчик);112209.29;94982.56;1-я линия В.О., 22, литера А
52;Российская Академия;111928.70;95434.93;1-я линия В.О., 52
53;Академия;111922.66;95444.62;1-я линия В.О., 52
54;Сад;111914.80;95423.08;1-я линия В.О., 52
55;Корпус аптечный;111842.02;95536.69;1-я линия В.О., 58
56;Главное здание;111891.87;95564.18;1-я линия В.О., 58
57;Корпус квартирный;111854.06;95567.14;1-я линия В.О., 58
58;Корпус конторский;111873.31;95520.43;1-я линия В.О., 58
59;Корпус прачечный;111803.74;95518.07;1-я линия В.О., 58
60;Больница им. святой Марии Магдалины;111851.04;95546.78;"1-я линия В.О., 58; 2-я линия В.О., 47"
61;Сады;111858.81;95543.64;"1-я линия В.О., 58; 2-я линия В.О., 47"
62;Дом, где в 1841-1844 гг. жил баснописец Крылов И.А.;112379.54;94717.44;1-я линия В.О., 8
63;Дом, в котором жил в 1909-1915 гг. Маковский Константин Егорович;111917.16;95503.85;1-я линия В.О., дом 56, квартиры 9, 10, 42
64;Церковь Великомученика Димитрия Солунского;112650.19;103124.88;1-я Никитинская ул., 1
65;Часовня благоверного князя Александра Невского;112450.11;103206.59;1-я Никитинская ул., на углу Земледельческой ул.
66;ДОТ артиллерийский;120048.38;64495.35;200 м восточнее здания по адресу: пос. Пязелево, Набережная ул., д. 1
67;ДОТ пулемётный;121965.84;74599.85;200 м западнее здания по адресу: пос. Шушары, Ленсоветовский, д. 25, лит. А
68;ДОТ № 115 КаУР;93966.01;115054.74;200 м юго-западнее здания по адресу: Санкт-Петербург, г. Сестрорецк, Заречная дорога, д. 7, лит. Б
69;ДОТ артиллерийский;110195.87;67307.40;"2000 м западнее ж/д станции ""Кондакопшино"""
70;Особняк Франка А.Л.;110959.58;93902.39;21-я линия В.О., 8-а
71;ДОТ № 234 КаУР;97815.84;116952.77;270 м на северо-восток от здания по адресу: Санкт-Петербург, пос. Белоостров, Новое шоссе, д.53, лит. А
72;Больница Ольгинского приюта для детей и женщин В.Б. Перовской с садом;114903.51;101927.52;2-й Муринский пр., 12, корп. 3
73;Пальмовая оранжерея на участке Елисеева;112116.07;99293.54;2-я Березовая аллея, 17
74;Жилой дом с участком парка;112008.38;98998.46;2-я Березовая аллея, 28
75;Особняк Гаусвальда с тремя службами, участком парка и оградой;111874.59;98939.49;"2-я Березовая аллея, 32; Большая аллея, 12-14"
76;Приют Ананьевой с участком парка и оградой;112500.78;99303.19;2-я Березовая аллея, 3-5
77;Манеж графа Г.И. Рибопьера (Здание Санкт-Петербургского атлетического общества);113545.04;91962.47;2-я Красноармейская ул., 12
78;Дом И.Ф. Смирнова;112080.49;95083.08;2-я линия В.О., 29, лит. А, Б
79;Корпус служебный;111822.11;95489.26;2-я линия В.О., 47
80;Покойницкая;111795.42;95493.78;2-я линия В.О., 47
81;Дом по 2-й Советской ул. с дворовым флигелем;116874.44;93655.86;2-я Советская ул., 27
82;АПК №1 КаУР;94487.15;114017.34;300 м на северо-восток от Сестрорецкого кладбища
83;ДОТ № 123 КаУР;94448.60;114419.87;364 м северо-восточнее от западной границы Сестрорецкого воинского мемориального кладбища, в 125 м восточнее Приморского шоссе и 73 м западнее железной дороги
84;Павильон на острове;110344.08;98990.63;3-й Южный пруд
85;Флигель жилой;112214.00;94675.63;3-я линия В.О., 2, лит. Б
86;Мастерская мозаичная;112257.71;94620.01;3-я линия В.О., 2, лит. И
87;Собственный дом архитектора Л.Н.Бенуа;111986.12;95036.09;3-я линия В.О., 20
88;Дом Г.А.Бернштейна;116732.71;93843.95;3-я Советская ул., 9, лит. А
89;ДОТ № 124 КаУР;94203.70;114196.95;40 м севернее от северной границы Сестрорецкого воинского мемориального кладбища, в 96 м западнее Приморского шоссе
90;ДОТ № 113 КаУР;93679.04;115141.43;45 м западнее здания по адресу: Санкт-Петербург, г. Сестрорецк, Заречная дорога, д. 3, к. 1, лит. А
91;Мастерская батальная;112185.98;94531.58;4-я линия В.О., 1-3, в саду
92;Дом Боссе Г.Э.;111950.41;94965.60;4-я линия В.О., 15
93;Дом жилой;111936.26;94948.22;4-я линия В.О., 15
94;Сад;111963.79;94967.70;4-я линия В.О., 15
95;Флигель;111937.79;94975.47;4-я линия В.О., 15
96;Ограда с воротами;111914.87;94962.87;4-я линия В.О., 15
97;Доходный дом Прохоровых;111880.59;95054.74;4-я линия В.О., 21
98;Главный дом;111873.78;95048.58;4-я линия В.О., 21
99;Служебный флигель;111913.16;95085.93;4-я линия В.О., 21
100;Три флигеля;111901.39;95064.97;4-я линия В.О., 21
101;Флигель жилой;112130.12;94626.64;4-я линия В.О., 3, лит. Б
102;Квартира, где в 1915-1929 гг. жил художник Рылов Аркадий Александрович;111761.94;95262.90;4-я линия В.О., 31, кв. 24 (б. кв. 12)
103;Жилой флигель;111692.01;95365.05;4-я линия В.О., 39, лит. Б
104;Два жилых флигеля;111693.04;95365.87;4-я линия В.О., 39, лит. Б, В
105;Жилой флигель;111709.01;95333.83;4-я линия В.О., 39, лит. В
106;Дом Форостовского П.П.;111989.06;94888.13;4-я линия В.О., 9
107;Дом жилой с зимним садом;111972.81;94879.00;4-я линия В.О., 9
108;Палисадник;111963.67;94877.18;4-я линия В.О., 9
109;Сад;112003.85;94894.95;4-я линия В.О., 9
110;Флигели (два);111996.82;94882.18;4-я линия В.О., 9
111;Ограда с воротами;111962.18;94876.86;4-я линия В.О., 9
112;Дом Закуриной;113450.79;91752.61;5-я Красноармейская ул., 19
113;Дом, в котором с 1880 по 1884 гг. жил Шишкин Иван Иванович;112065.23;94582.75;5-я линия В.О., 10/5
114;Дом с флигелем;111940.26;94822.38;5-я линия В.О., 20
115;Службы;111934.41;94806.55;5-я линия В.О., 20
116;Фабрика братьев Бух и дом с флигелем Ф.А.Гутхейля;111926.73;94809.32;"5-я линия В.О., 20; Волжский пер., 13"
117;Дом, где жили: в 1862-1863 гг. - писатель Салтыков-Щедрин М.Е., в 1870 г. - художник Репин И.Е., в 1882-1898 гг. - художник Шишкин И.И.;111866.94;94912.98;5-я линия В.О., 30
118;Дом жилой Бонштедта М.Э.;111841.28;94947.51;5-я линия В.О., 32
119;Лечебница для нервнодушевнобольных Бари А.Э.;111547.43;95466.71;5-я линия В.О., 58-60
120;Корпус северный;111561.91;95488.81;5-я линия В.О., 58-60
121;Главное здание;111568.64;95461.94;5-я линия В.О., 58-60
122;Флигель;111560.47;95432.36;5-я линия В.О., 58-60
123;Корпус южный;111589.47;95445.36;5-я линия В.О., 58-60
124;Дом, где в 1840-1844 гг. жил поэт и художник Шевченко Тарас Григорьевич. Здесь с 1875 г. по 1879 г. жил композитор Мусоргский Модест Петрович (кв. 29, 30-б, кв. 25, 26);112084.39;94549.44;"5-я линия В.О., 8; Бугский пер., 1-3; Волжский пер., 1"
125;Церковь Благовещения Пресвятой Богородицы;116898.71;94014.11;5-я Советская ул., 31-33, лит. А
126;Подворье Старо-Афонского Свято-Андреевского мужского скита;116884.53;94003.22;5-я Советская ул., 31-33, лит. А, Б, В
127;Флигель для монахов;116874.93;94000.56;5-я Советская ул., 31-33, лит. Б
128;Ограда и сторожка;116885.37;94034.63;5-я Советская ул., 31-33, лит. В
129;ДОТ артиллерийский;116381.15;80983.09;600 м юго-западнее здания по адресу: Московское шоссе, д. 33, лит. А
130;Дом З.Н. Левина;113612.2991;91690.8288;6-я Красноармейская ул., 15, лит. А
131;Храмовый комплекс;111882.18;94747.12;6-я линия В.О., 11
132;Ограда;111870.22;94713.68;6-я линия В.О., 11
133;Церковь Трех Святителей Вселенских;111871.82;94734.55;6-я линия В.О., 11
134;Собор святого апостола Андрея Первозванного;111898.22;94706.33;6-я линия В.О., 11
135;Дом Троекурова А.И.;111843.42;94769.08;6-я линия В.О., 13
136;ДОТ пулемётный;120582.78;82601.20;70 м западнее здания по адресу: Софийская ул., д. 99, лит. Д
137;ДОТ № 223 КаУР;97397.62;116035.35;730 м на юго-запад от здания по адресу: Санкт-Петербург, пос. Белоостров, Новое шоссе, д. 53, лит. А
138;Дом Е.Е. Глухарева;113712.1002;91602.0671;7-я Красноармейская ул., 7, лит. А
139;Подворье Александро-Невской лавры;111958.55;94486.35;7-я линия В.О., 12
140;Дом А.В.Пеля с аптекой, химической лабораторией и фабрикой;111911.67;94521.98;7-я линия В.О., 16-18, лит. А
141;Квартира, в которой с 1897 г. жил и в 1906 г. умер художественный критик Стасов Владимир Васильевич;116824.76;94319.37;"7-я Советская ул., 11; Суворовский пр., 20, кв. 24"
142;Особняк Г.Ф. Горшкова;116959.27;94282.84;7-я Советская ул., 24, лит. А
143;Дом, где жили: в 1871-1886 гг. - химик Бутлеров А.М., в 1867-1880 гг. - химик Зинин Н.Н., в 1887-1911 гг. - физикохимик Бекетов Н.Н.;111827.87;94481.96;8-я линия В.О., 17
144;Дом, где жили: в 1855-1858 гг. - композитор Чайковский П.И., в 1861-1914 гг. - географ Семенов-Тян-Шанский П.П., в 1851-1881 гг. - экономист Заблоцкий-Десятовский А.П.;111612.12;94887.58;8-я линия В.О., 39
145;Дом А.И. Кракау;111589.00;94937.81;8-я линия В.О., 43, лит. А, Б
146;Благовещенское Синодальное подворье с двумя флигелями и оградой;111397.29;95240.53;8-я линия В.О., 61
147;Сад;111344.85;95412.98;"8-я линия В.О., 67, 71; 7-я линия В.О., 68; Малый пр. В.О., 18, 20 (между домами)"
148;Ограда с четырьмя воротами;111328.91;95449.26;"8-я линия В.О., 67, 71; 7-я линия В.О., 68; Малый пр. В.О., 18-20"
149;Церковь Благовещения Пресвятой Богородицы;111362.73;95362.42;"8-я линия В.О., 67, 71; 7-я линия В.О., 68; Малый пр. В.О., между домами 18 и 20"
150;Церковь;111399.96;95378.63;"8-я линия В.О., 67; 7-я линия В.О., 68"
151;Дом П.П. Степнова;116957.70;94426.83;8-я Советская ул., 16/25, лит. А
152;ДОТ артиллерийский;123705.27;77845.59;900 м северо-западнее пересечения Усть-Ижорского шоссе и Софийской ул.
153;Дом, где в 1901-1907 гг. жил шахматист Чигорин М.И.;112928.44;91824.02;9-я Красноармейская ул., 15
154;Дом, где в 1912-1913 гг. проходили заседания объединенной социал-демократической фракции IV Государственной думы;117260.45;94278.87;"9-я Советская ул., 39; Мытнинская ул., 24"
155;Дом Глуховского А.Н. (Зиновьева);111752.53;97600.40;Адмирала Лазарева наб., 10
156;Адмиралтейский бульвар;113199.83;94600.48;Адмиралтейская наб.
157;Ограда;113204.84;94217.18;Адмиралтейская наб.
158;Набережная Адмиралтейская;113192.41;94609.96;Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл.
159;Спуск Дворцовый со львами и пристанью;113327.70;94722.60;Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл.
160;Спуск Петровский с вазами и пристанью;113020.62;94458.06;Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл.
161;Набережная;113161.24;94585.69;Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл.
162;Дом, где жили: в 1906-1910 гг. физик Голицин Б.Б., в 1890 г., в 1893 г. - композитор Чайковский П.И.;113216.38;94548.22;"Адмиралтейская наб., 10; Черноморский пер., 7"
163;Главное Адмиралтейство;113290.53;94496.97;"Адмиралтейская наб., 2, 16; Адмиралтейский пр., 1"
164;Дворец Великого князя Михаила Михайловича;113248.12;94553.25;"Адмиралтейская наб., 8; Черноморский пер., 4, 5; Азовский пер., 1"
165;Дворец;113253.22;94568.42;"Адмиралтейская наб., 8; Черноморский пер., 5; Азовский пер., 1"
166;Александровский сад;113126.31;94288.75;Адмиралтейская наб., Адмиралтейский пр., Дворцовая пл., Адмиралтейский просп., Декабристов пл.
167;Здания Государственного Дворянского земельного банка;113164.56;94500.20;Адмиралтейская наб., д. 12-14, лит. А
168;"Дом, где в 1866-1870 гг. находилась ""Артель художников"" и жил художник Крамской И.Н.";113342.46;94254.57;"Адмиралтейский пр., 10; Вознесенский пр., 2"
169;Дом Лобанова-Ростовского А.Я.;113276.01;94168.63;"Адмиралтейский пр., 12; Исаакиевская пл., 2; Вознесенский пр., 1"
170;Дом Фитингофа И.Ф. (губернские присутственные места);113458.50;94344.45;"Адмиралтейский пр., 6; Гороховая ул., 2"
171;Ограда;112972.15;94353.14;Адмиралтейский пр., Декабристов пл.
172;Сад;113192.62;94324.24;Адмиралтейский пр., Декабристов пл.
173;"Статуя ""Геракл Фарнезский""";113160.71;94284.99;Адмиралтейский пр., Декабристов пл.
174;"Статуя ""Флора Фарнезская""";113495.66;94545.82;Адмиралтейский пр., Декабристов пл.
175;Фонтан;113370.76;94384.35;Адмиралтейский пр., Декабристов пл.
176;Бюст географа Пржевальского Н.М.;113254.55;94297.62;"Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл."
177;Бюст композитора Глинки М.И.;113364.65;94406.05;"Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл."
178;Бюст писателя Гоголя Н.В.;113487.35;94478.84;"Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл."
179;Бюст поэта Жуковского В.А.;113388.77;94400.22;"Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл."
180;Бюст поэта Лермонтова М.Ю.;113352.17;94371.94;"Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл."
181;Ограда;112043.79;93563.26;Адмиралтейского кан. наб., 33
182;Сад;112027.64;93587.03;"Адмиралтейского кан. наб., 33; Ново-Адмиралтейского кан. наб., 6"
183;Дача;112834.01;99843.31;Академика Крылова ул., 4
184;Ограда с воротами;112885.36;99783.28;"Академика Крылова ул., 4; Приморский пр., 3; Савушкина ул., 2"
185;Сад;112805.05;99789.40;"Академика Крылова ул., 4; Приморский пр., 3; Савушкина ул., 2"
186;Ограда по Приморскому пр.;112767.54;99656.17;"Академика Крылова ул., 4; Приморский пр., 3; Савушкина ул., 2"
187;Дача Салтыковых;112765.61;99820.19;"Академика Крылова ул., 4; Савушкина ул., 2, 4, 6, 8, 10; Приморский пр., 3"
188;Квартира, в которой жили в 1924-1934 гг. химик Лебедев Сергей Васильевич, в 1924-1955 гг. художник-график Остроумова-Лебедева Анна Петровна;115881.60;97142.96;Академика Лебедева ул., 10-г, кв. 4
189;Академия Императорская Медико-хирургическая (Военно-Медицинская);115493.30;96698.21;Академика Лебедева ул., 2, 4, 6, 8, Боткинская ул., 8, 10, 12, 13, 17, 20, 23, Пироговская наб., 1, 3, Большой Сампсониевский пр., 1, 3,  5, 11, Комиссара Смирнова ул., 10, 12, лит.А., Лесной просп., 2, Клиническая ул., 5, 9
190;Здания Императорской Медико-хирургической академии;115944.65;97056.87;"Академика Лебедева ул., 37а, литера И; 37а, литера А; 37б, литера Ж"
191;Корпус кухонный военно-фельдшерской школы;115578.39;96400.92;Академика Лебедева ул., 4
192;Школа военно-фельдшерская;115615.46;96408.40;Академика Лебедева ул., 4
193;Дом жилой и прачечная;115581.88;96524.66;Академика Лебедева ул., 4, корп. 2, 3
194;"Фонтан ""Гигиея""";115697.52;96664.06;Академика Лебедева ул., 6
195;Ограда парадного двора;115728.50;96656.92;Академика Лебедева ул., 6
196;Главное здание с садом парадного двора;115667.92;96678.79;"Академика Лебедева ул., 6; Боткинская ул., 8"
197;Анатомический институт;115952.47;97054.35;Академика Лебедева ул., дом 37а, литера А
198;Главное здание Ветеринарного института (Хирургический музей);115858.09;96938.27;Академика Лебедева ул., дом 37а, литера И
199;Часовня при Анатомическом институте;115959.64;97133.32;Академика Лебедева ул., дом 37б, литера Ж
200;Ограда;113359.73;98850.97;Академика Павлова ул., 12
201;Библиотека;113530.00;98945.19;Академика Павлова ул., 12
202;Лаборатория общей патологии;113473.08;98642.79;Академика Павлова ул., 12
203;Лаборатория при физиологическом отделении;113428.60;98890.55;Академика Павлова ул., 12
204;Отделение физиологическое;113407.39;98892.54;Академика Павлова ул., 12
205;Лаборатория химическая;113465.56;98880.40;Академика Павлова ул., 12
206;Корпус машинный с водонапорной башней;113394.74;98818.38;Академика Павлова ул., 12
207;Деревянное здание оранжереи у дачи В.Ф.Громова с садом, оградой;113111.70;98792.17;Академика Павлова ул., 13
208;Клиника кожных болезней В.К. Синягина и А.К. Чекалёвой;113496.14;98996.15;Академика Павлова ул., 9
209;Институт экспериментальной медицины;113403.54;98857.34;Академика Павлова ул., 9, 12
210;Сад;113449.98;98836.50;Академика Павлова ул., 9, 12
211;Бюст естествоиспытателя Дарвина Ч.;113415.68;98857.66;Академика Павлова ул., 9, 12
212;Бюст химика Менделеева Д.И.;113430.15;98863.39;Академика Павлова ул., 9, 12
213;Бюст микробиолога Пастера Л.;113424.14;98860.98;Академика Павлова ул., 9, 12
214;Бюст физиолога Сеченова И.;113417.98;98872.55;Академика Павлова ул., 9, 12
215;Памятник собаке;113386.03;98921.35;Академика Павлова ул., 9, 12
216;Фонтаны (три);113419.86;98904.44;Академика Павлова ул., 9, 12
217;Лопухинский сад;113228.96;98902.22;Академика Павлова ул., Каменноостровский пр.
218;Дом, в котором жили: Репин Илья Ефимович в 1869 г., Суриков Василий Иванович в 1872 г., Антокольский Марк Матвеевич в 1869 г.;112127.76;94486.30;Академический пер., 1/4
219;Кладбище Лазаревское (некрополь XVIII в.);117709.57;92898.15;Александра Невского пл., 1
220;Кладбище;117729.22;92891.00;Александра Невского пл., 1
221;Александро-Невская Лавра;117673.73;92765.24;Александра Невского пл., 1, Монастырки р. наб., 1, 1-а, Чернорецкий пер., 2, 8, Лаврский пр., Невский просп., 177, 179-а, 190
222;Кронверк Петропавловской крепости;113631.35;96240.88;Александровский парк
223;Гласис, ров и вал;113573.88;96395.20;Александровский парк
224;Народный дом, где в мае 1917 г. состоялся 1-й Всероссийский съезд крестьянских депутатов. Здесь в Оперном зале выступали певцы Собинов Л.В., Шаляпин Ф.И;113416.69;96417.10;Александровский парк, 4
225;Институт ортопедический;113900.14;96246.48;Александровский парк, 5
226;Главное здание;113917.77;96265.32;Александровский парк, 5
227;Корпус служебный;113843.16;96395.37;Александровский парк, 5
228;Корпус хозяйственный с котельной;113813.68;96372.32;Александровский парк, 5
229;Сад;113879.16;96300.92;Александровский парк, 5
230;Арсенал;113605.48;96285.93;Александровский парк, 7
231;Корпус со столовой и кухней;113480.64;96412.05;Александровский парк, д. 4, лит. А
232;Комплекс зданий Народного дома императора Николая II;113471.49;96475.07;Александровский парк, д. 4, лит. А, Т
233;"Корпус с залом для увеселений и чтений (""Железный зал"")";113478.44;96451.92;Александровский парк, д. 4, лит. Т
234;Молитвенный дом омовения и служебный дом на Преображенском еврейском кладбище;121335.94;85817.46;Александровской фермы пр., 66, 66-а
235;Молитвенный дом омовения;121350.02;85813.51;Александровской фермы пр., 66, 66-а
236;Служебный дом;121346.59;85889.48;Александровской фермы пр., 66, 66-а
237;Бюст Петронии Примы;114803.37;95386.98;Аллея Росси
238;Бюст Скрибонии;114803.37;95386.98;Аллея Росси
239;Набережная Английская;112513.19;94105.53;Английская наб. - левый берег р. Большой Невы, от Декабристов пл. до Ново-Адмиралтейского канала
240;Набережная;112420.88;94049.64;Английская наб. - левый берег р. Большой Невы, от Декабристов пл. до Ново-Адмиралтейского канала
241;Устой береговой Исаакиевского наплавного моста с лестничными спусками;112929.94;94404.92;Английская наб. - левый берег р. Большой Невы, от Декабристов пл. до Ново-Адмиралтейского канала
242;"Памятник-стела в честь революционного крейсера ""Аврора""";112245.64;93953.83;Английская наб.,  42 (б. Набережная Красного Флота)
243;Дом Нарышкина А.Л. (Воронцовых-Дашковых);112726.57;94175.67;"Английская наб., 10; Галерная ул., 9"
244;Особняк Дурново П.П.;112665.23;94128.19;"Английская наб., 16; Галерная ул., 15"
245;Дом О.Н. Варгуниной (В.В. Скаржинского);112557.16;94060.13;"Английская наб., 24; Галерная ул., 23"
246;Дома купца Челышева;112542.48;94050.64;"Английская наб., 26 (б. Красного флота наб.); Галерная ул., 25"
247;Дом фон Дервиза П.П. (Великого князя Андрея Владимировича) с дворовыми флигелями;112513.04;94032.44;"Английская наб., 28; Галерная ул., 27"
248;Дом Майера Э.М.;112486.04;94016.68;"Английская наб., 30; Галерная ул., 29"
249;Коллегия Иностранных дел (дом Куракина Б.А.);112445.07;94007.23;Английская наб., 32, Галерная ул.,31
250;Дом фон Дервиза С.П. с дворовыми флигелями;112409.47;93968.00;"Английская наб., 34; Галерная ул., 33"
251;"Дом А.Ф. Кларка (здание общества ""Мазут"")";112322.41;93926.93;"Английская наб., 38; Галерная ул., 39; Труда пл., 1"
252;Дом Лаваль А.Г.;112820.92;94232.17;"Английская наб., 4; Галерная ул., 3"
253;Особняк;112269.59;93932.91;"Английская наб., 42; Галерная ул., 43"
254;Дом Румянцева Н.П. (Кочубея Е.Л.), арх. Глинка В.А., ск. Мартос И.П., арх. Цим И.-А., арх. Степанов А.А.;112262.65;93887.88;"Английская наб., 44; Галерная ул., 45"
255;Дом № 48;112206.65;93902.53;Английская наб., 48
256;Дома П.К.Ферзена (А.Я.Прозорова);112224.74;93866.17;"Английская наб., 48; Галерная ул., 49"
257;Дом Стенбок-Ферморов (дом Капниста);112201.71;93857.86;"Английская наб., 50; Галерная ул., 51"
258;Дом Потемкина А.Я. (Струкова);112178.68;93841.79;"Английская наб., 52; Галерная ул., 53"
259;Дворец Великого князя Михаила Александровича с дворовыми флигелями;112152.32;93840.49;"Английская наб., 54; Галерная ул., 55"
260;Церковь англиканская Иисуса Христа;112126.70;93831.01;"Английская наб., 56; Галерная, 57"
261;Дом жилой;112144.38;93783.41;"Английская наб., 56; Галерная, 57"
262;Корпуса служебные (два);112128.53;93804.22;"Английская наб., 56; Галерная, 57"
263;Церковь;112115.77;93844.18;"Английская наб., 56; Галерная, 57"
264;Дома Е.Занадворской;112103.30;93807.14;"Английская наб., 58 (б. Красного Флота, наб.); Галерная ул., 59"
