№;Название объекта культурного наследия;Координата, X;Координата, Y;Адрес
20;Офицерское собрание лейб-гвардии Финляндского полка;93935.44;111201.48;18-я линия В.О., 5, лит. А
21;Особняк Криличевской с участком парка;98945.65;112420.17;1-я Березовая аллея, 18
22;Жилой дом с участком парка;98968.97;112067.98;1-я Березовая аллея, 45
23;Особняк Михина С.И. с участком парка;99061.98;112558.18;1-я Березовая аллея, 5
24;Здание Консисторского управления Могилевской Римско-католической архиепархии с костелом Успения Девы Марии (Духовная семинария Римско-католической архиепархии);92117.04;113523.70;1-я Красноармейская ул., 11, лит. А, Б
25;Здание манежа (экзерциргауса) лейб-гвардии Измайловского полка;92092.02;113356.94;1-я Красноармейская ул., 13, Измайловский пр., 2а
26;Дом, где в начале 1895 г. Ленин В.И. встречался с петербургскими социал-демократами;92044.11;113455.66;1-я Красноармейская ул., 22
27;Дом Леонтьева М.И. (Шуберта Ф.Ф.);94750.99;112344.77;1-я линия В.О., 12
28;Дом А. Сверчкова (Кушелевой);94777.36;112358.85;1-я линия В.О., 14, лит. А
29;Российская Академия;95430.12;111921.06;1-я линия В.О., 52
30;Больница им. святой Марии Магдалины;95535.16;111852.29;1-я линия В.О., 58, 2-я линия В.О., 47
31;Дом, где в 1841-1844 гг. жил баснописец Крылов И.А.;94717.44;112379.54;1-я линия В.О., 8
32;Дом, в котором жил в 1909-1915 гг. Маковский Константин Егорович;95503.85;111917.16;1-я линия В.О., дом 56, литера А, кв. 5, 6, 7
33;Церковь Великомученика Димитрия Солунского;103147.83;112635.83;1-я Никитинская ул., 1
34;Часовня благоверного князя Александра Невского;103209.08;112451.82;1-я Никитинская ул., на углу Земледельческой ул.
35;Особняк Франка А.Л.;93893.73;110944.52;21-я линия В.О., 8-а
36;Больница Ольгинского приюта для детей и женщин В.Б. Перовской с садом;101949.96;114942.82;2-й Муринский пр., 12
37;Пальмовая оранжерея на участке Елисеева;99293.54;112116.07;2-я Березовая аллея, 17
38;Жилой дом с участком парка;98997.56;112006.23;2-я Березовая аллея, 28
39;Особняк Гаусвальд Е.К.;98933.70;111904.14;"2-я Березовая аллея, 32; Большая аллея, 12-14"
40;Приют Ананьевой К.О.;99290.83;112509.17;2-я Березовая аллея, 3-5
41;Манеж графа Г.И. Рибопьера (Здание Санкт-Петербургского атлетического общества);91962.61;113545.09;2-я Красноармейская ул., 12
42;Дом И.Ф. Смирнова;95083.08;112080.49;2-я линия В.О., 29, лит. А, Б
43;Собственный дом архитектора Л.Н.Бенуа;95034.08;111986.49;3-я линия В.О., 20
44;Дом Г.А.Бернштейна;93844.15;116732.84;3-я Советская ул., 9, лит. А
45;Дом Боссе Г.Э.;94961.99;111950.94;4-я линия В.О., 15
46;Доходный дом Прохоровых;95059.83;111893.16;4-я линия В.О., 21
47;Квартира, где в 1915-1929 гг. жил художник Рылов Аркадий Александрович;95262.78;111761.74;4-я линия В.О., 31, кв. 24 (б. кв. 12)
48;Два жилых флигеля;95361.72;111693.50;4-я линия В.О., 39, лит. Б, В
49;Дом Форостовского П.П.;94888.62;111993.98;4-я линия В.О., 9
50;Дом Закуриной;91752.61;113450.79;5-я Красноармейская ул., 19
51;Дом, в котором с 1880 по 1884 гг. жил Шишкин Иван Иванович;94582.69;112065.83;5-я линия В.О., 10/5
52;Фабрика братьев Бух и дом с флигелем Ф.А.Гутхейля;94814.15;111921.83;"5-я линия В.О., 20; Волжский пер., 13"
53;Дом, где жили: в 1862-1863 гг. - писатель Салтыков-Щедрин М.Е., в 1870 г. - художник Репин И.Е., в 1882-1898 гг. - художник Шишкин И.И.;94913.52;111867.48;5-я линия В.О., 30
54;Дом жилой Бонштедта М.Э.;94950.46;111845.88;5-я линия В.О., 32
55;Лечебница для нервнодушевнобольных Бари А.Э.;95444.95;111556.02;5-я линия В.О., 58-60
56;Дом, где в 1840-1844 гг. жил поэт и художник Шевченко Тарас Григорьевич. Здесь с 1875 г. по 1879 г. жил композитор Мусоргский Модест Петрович (кв. 29, 30-б, кв. 25, 26);94552.33;112082.89;"5-я линия В.О., 8; Бугский пер., 1-3; Волжский пер., 1"
57;Подворье Старо-Афонского Свято-Андреевского мужского скита;94010.26;116889.01;5-я Советская ул., 31-33, лит. А, Б, В
58;Дом З.Н. Левина;91690.8288;113612.2991;6-я Красноармейская ул., 15, лит. А
59;Храмовый комплекс;94726.75;111894.22;6-я линия В.О., 11
60;Дом Троекурова А.И.;94769.80;111849.36;6-я линия В.О., 13
61;Дом Е.Е. Глухарева;91602.0671;113712.1002;7-я Красноармейская ул., 7, лит. А
62;Подворье Александро-Невской лавры;94484.53;111955.47;7-я линия В.О., 12
63;Дом А.В.Пеля с аптекой, химической лабораторией и фабрикой;94521.11;111911.36;7-я линия В.О., 16-18, лит. А
64;Квартира, в которой с 1897 г. жил и в 1906 г. умер художественный критик Стасов Владимир Васильевич;94316.17;116820.61;"7-я Советская ул., 11; Суворовский пр., 20, кв. 24"
65;Особняк Г.Ф. Горшкова;94282.84;116959.27;7-я Советская ул., 24, лит. А
66;Дом, где жили: в 1871-1886 гг. - химик Бутлеров А.М., в 1867-1880 гг. - химик Зинин Н.Н., в 1887-1911 гг. - физикохимик Бекетов Н.Н.;94481.96;111827.87;8-я линия В.О., 17
67;Дом, где жили: в 1855-1858 гг. - композитор Чайковский П.И., в 1861-1914 гг. - географ Семенов-Тян-Шанский П.П., в 1851-1881 гг. - экономист Заблоцкий-Десятовский А.П.;94894.41;111610.22;8-я линия В.О., 39
68;Дом А.И. Кракау;94937.81;111589.00;8-я линия В.О., 43, лит. А, Б
69;Благовещенское Синодальное подворье с двумя флигелями и оградой;95256.77;111389.32;8-я линия В.О., 61
70;Церковь Благовещения Пресвятой Богородицы;95386.37;111356.28;"8-я линия В.О., 67, 71; 7-я линия В.О., 68; Малый пр. В.О., 18-20"
71;Дом П.П. Степнова;94426.83;116957.70;8-я Советская ул., 16/25, лит. А
72;Дом, где в 1901-1907 гг. жил шахматист Чигорин М.И.;91826.08;112928.33;9-я Красноармейская ул., 15
73;Дом, где в 1912-1913 гг. проходили заседания объединенной социал-демократической фракции IV Государственной думы;94274.18;117256.53;"9-я Советская ул., 39; Мытнинская ул., 24"
74;Братское захоронение воинов Советской Армии, погибших в годы Великой Отечественной войны 1941-1945 г.г.;80839.25;112647.79;Авиагородок
75;Дом Глуховского А.Н. (Зиновьева);97601.77;111751.48;Адмирала Лазарева наб., 10
76;Адмиралтейский бульвар;94600.46;113199.81;Адмиралтейская наб.
77;Набережная Адмиралтейская;94600.78;113182.28;Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл.
78;Дом, где жили: в 1906-1910 гг., физик Голицын Б.Б., в 1890 г., в 1893 г. - композитор Чайковский П.И.;94543.34;113220.94;"Адмиралтейская наб., 10; Черноморский пер., 7"
79;Главное Адмиралтейство;94496.28;113285.88;"Адмиралтейская наб., 2, 16; Адмиралтейский пр., 1"
80;Дворец Великого князя Михаила Михайловича;94554.37;113256.75;"Адмиралтейская наб., 8; Черноморский пер., 5; Азовский пер., 1"
81;Здания Государственного Дворянского земельного банка;94499.34;113164.26;Адмиралтейская наб., д. 12-14, лит. А
82;"Дом, где в 1866-1870 гг. находилась ""Артель художников"" и жил художник Крамской И.Н.";94249.61;113347.10;"Адмиралтейский пр., 10; Вознесенский пр., 2"
83;Дом Лобанова-Ростовского А.Я.;94171.14;113273.46;"Адмиралтейский пр., 12; Исаакиевская пл., 2; Вознесенский пр., 1"
84;Дом Фитингофа И.Ф. (губернские присутственные места);94341.93;113462.94;"Адмиралтейский пр., 6; Гороховая ул., 2"
85;Александровский сад;94324.42;113192.86;"Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл."
86;Дача Салтыковых;99791.08;112804.69;"Академика Крылова ул., 4; Савушкина ул., 2, 4, 6, 8, 10; Приморский пр., 3"
87;Квартира, в которой жили в 1924-1934 гг. химик Лебедев Сергей Васильевич, в 1924-1955 гг. художник-график Остроумова-Лебедева Анна Петровна;97142.96;115881.60;Академика Лебедева ул., 10-г, кв. 4
88;Академия Императорская Медико-хирургическая (Военно-Медицинская);96687.39;115530.22;Академика Лебедева ул., 2, 4, 6, 8, Боткинская ул., 8, 10, 12, 13, 17, 20, 23, Пироговская наб., 1, 3, Большой Сампсониевский пр., 1, 3,  5, 11, Комиссара Смирнова ул., 10, 12, лит.А., Лесной просп., 2, Клиническая ул., 5, 9
89;Здания Императорской Медико-хирургической академии;97060.19;115935.98;"Академика Лебедева ул., 37а, литера И; 37а, литера А; 37б, литера Ж"
90;Институт экспериментальной медицины;98837.53;113450.89;Академика Павлова ул., 9, 12
91;Лопухинский сад;98853.05;113151.05;Академика Павлова ул., Каменноостровский пр.
92;Дом, в котором жили: Репин Илья Ефимович в 1869 г., Суриков Василий Иванович в 1872 г., Антокольский Марк Матвеевич в 1869 г.;94488.77;112124.28;"Академический пер., 1; 5-я линия В.О., 4"
93;Александро-Невская Лавра;92639.43;117661.92;"Александра Невского пл., 1; Монастырки р. наб., 1; Чернорецкий пер., 2, 8; Лаврский проезд; Невский пр., 177, 179-а, 190"
94;Народный дом, где в мае 1917 г. состоялся 1-й Всероссийский съезд крестьянских депутатов. Здесь в Оперном зале выступали певцы Собинов Л.В., Шаляпин Ф.И;96416.98;113413.42;Александровский парк, 4
95;Институт ортопедический;96302.37;113880.23;Александровский парк, 5
96;Кронверк Петропавловской крепости;96278.92;113600.58;Александровский парк, 7
97;Молитвенный дом омовения и служебный дом на Преображенском еврейском кладбище;85839.38;121348.99;Александровской фермы пр., 66, 66-а
98;Набережная Английская;94085.48;112478.29;Английская наб. - левый берег р. Большой Невы, от Декабристов пл. до Ново-Адмиралтейского канала
99;Дом Нарышкина А.Л. (Воронцовых-Дашковых);94173.61;112732.92;"Английская наб., 10; Галерная ул., 9"
100;Особняк генерала Дурново П.П.;94129.70;112664.12;"Английская наб., 16; Галерная ул., 15"
101;Дом О.Н. Варгуниной (В.В. Скаржинского);94061.78;112559.21;"Английская наб., 24; Галерная ул., 23"
102;Дома купца Челышева;94048.53;112538.85;"Английская наб., 26; Галерная ул., 25"
103;Дом фон Дервиза П.П. (Великого князя Андрея Владимировича) с дворовыми флигелями;94032.55;112512.74;"Английская наб., 28; Галерная ул., 27"
104;Дом Майера Э.М.;94016.33;112486.36;"Английская наб., 30; Галерная ул., 29"
105;Коллегия Иностранных дел (дом Куракина Б.А.);93995.52;112452.08;Английская наб., 32
106;Дом фон Дервиза С.П. с дворовыми флигелями;93968.39;112409.15;"Английская наб., 34; Галерная ул., 33"
107;"Дом А.Ф. Кларка (здание общества ""Мазут"")";93926.70;112321.83;"Английская наб., 38; Галерная ул., 39; Труда пл., 1"
108;Дом Лаваль А.Г.;94231.87;112821.08;"Английская наб., 4; Галерная ул., 3"
109;Дом Румянцева Н.П. (Кочубея Е.Л.), арх. Глинка В.А., ск. Мартос И.П., арх. Цим И.-А., арх. Степанов А.А.;93890.31;112261.60;"Английская наб., 44; Галерная ул., 45"
110;Дома П.К.Ферзена (А.Я.Прозорова);93866.47;112222.01;Английская наб., 48, Галерная ул., 49
111;Дом Стенбок-Ферморов (дом Капниста);93857.82;112201.32;"Английская наб., 50; Галерная ул., 51"
112;Дом Потемкина А.Я. (Струкова);93844.46;112177.48;"Английская наб., 52; Галерная ул., 53"
113;Дворец Великого князя Михаила Александровича с дворовыми флигелями;93832.60;112155.09;"Английская наб., 54; Галерная ул., 55"
114;Церковь англиканская Иисуса Христа;93819.97;112129.37;"Английская наб., 56; Галерная ул., 57"
115;Дома Е.Занадворской;93807.83;112106.02;"Английская наб., 58; Галерная ул., 59"
116;Особняк Казалета Э.П. (Тенишевых);94209.71;112790.94;"Английская наб., 6; Галерная ул., 5"
117;Дом Теплова;93799.58;112088.72;"Английская наб., 60; Галерная ул., 61"
118;Дома кн. Л.Д.Вяземского;93772.76;112039.65;"Английская наб., 66; Галерная ул., 67"
119;Дом Штиглица А.Л. (дворец Великого князя Павла Александровича);93757.01;112007.76;"Английская наб., 68; Галерная ул., 69"
120;Дом Виллие Я.В. (Демидова, Гауша);93746.22;111920.35;"Английская наб., 74; Ново-Адмиралтейского кан. наб., 2"
121;Дом Паскевича Ф.И. с дворовыми флигелями;94192.80;112762.48;"Английская наб., 8; Галерная ул., 7"
122;Дом М.Н. Челищева (М.Л. и И.Л. Варшавских);93789.60;112073.50;Английская наб., д. 62, лит. А
123;Дом С.В. Линдес (Здание Шведского посольства);93781.79;112056.75;Английская наб., д. 64, лит. А
124;"Памятник-стела в честь революционного крейсера ""Аврора""";93953.34;112245.85;Английская наб., против д. 44
125;Здание кондитерской фабрики “Жорж Борман”;93191.65;112006.89;"Английский пр., 16; ул. Писарева, 3"
126;"Дом, в котором: жила в 1909-1910 гг. актриса Комисаржевская Вера Федоровна (кв. 7); жил с 1908 г. и умер в 1940 г. океанограф академик Шокальский Юлий Михайлович (кв. 19); в помешениях училища Витмер О.К. неоднократно бывал Ленин В.И. (1905-1906 гг.)";92761.46;111995.14;"Английский пр., 27; Союза Печатников ул., 27"
127;Здания, где в 1897-1919 гг. находились Высшие курсы физического образования (курсы Лесгафта). Здесь жили и работали: в 1897-1909 гг. - основатель курсов Лесгафт П.Ф., в 1907-1941гг. - революционер Морозов Н.А., в 1913-1958 гг. - физиолог Орбели Л.А.;92823.72;112072.61;"Английский пр., 32; Союза Печатников ул., 25-а"
128;Дом, XIX в. Здесь в 1906-1907 гг. Ленин В.И. принимал участие в партийных собраниях;92381.34;112180.05;"Английский пр., 41; Садовая ул., 105; Канонерская ул., 26"
129;Особняк А.К. Пампеля;93281.17;111871.95;Английский пр., 4-6, лит. А
130;Дом фан Гильзе фан дер Пальса Г.Г.;93240.82;111915.59;Английский пр., 8-10
131;Особняк С.П. Ягужинского;95036.10;114464.38;Аптекарский пер., 6, лит. Б
132;Институт электротехнический. Здесь в 1903-1905 гг. жил изобретатель радио Попов А.С. Здесь работали ученые Графтио Г.А., Гаккель Я.М., Вологдин В.П.;98273.08;113976.00;"Аптекарский пр., 3; Профессора Попова ул., 5"
133;Центральная электростанция городского трамвая с водокачальней;92244.24;117150.89;Атаманская ул., 3
134;"Комплекс построек малолетнего отделения Николаевского сиротского института (""Куракина дача""), территория с парком и гидротехническими сооружениями";87132.52;121409.36;Бабушкина ул., 56
135;Храм римско-католический Святого Сердца Господа Иисуса;88151.25;120515.90;Бабушкина ул., 57
136;Особняк Н.М. Полежаева;93771.59;117517.89;Бакунина пр., 8, лит. А, пом. 1-Н, 2-Н, 3-Н, 4-Н, 5-Н, 6-Н, 7-Н
137;Жилое и административное здание сооружений Второй очереди Петроградского городского трамвая;98058.67;112131.35;Барочная ул., 12/76, лит. Б
138;Дом Л.К. фон Таубе;94743.34;116052.16;Басков пер., 12
139;Здание штаба второго корпуса ПВО;94725.42;116124.65;Басков пер., 16, лит. А
140;Дом А.И. Ерошенко;94688.46;115763.96;Басков пер., 5, лит. А
141;Дом А.Ф. Шмюкинга;94512.31;115461.01;Белинского ул., 11, лит. А
142;Дом Н.А. и С.А. Латониных;94507.67;115400.57;Белинского ул., 5, лит. А
143;"Дача при саде ""Озерки""";105890.34;113238.77;Береговая ул., д. 4, лит. А
144;Психоневрологический институт им. В.М. Бехтерева с территорией (главное здание, 4 корпуса, 4 мемориальные доски);90550.46;118722.11;Бехтерева ул., 3
145;Бюст Бехтерева В.М.;90685.82;118646.68;Бехтерева ул., 3
146;Старый Гостиный двор;95198.82;112737.51;Биржевая линия, 1/1, лит. О
147;Дом Елисеевых с флигелями;95157.78;112586.77;Биржевая линия, 12-14
148;"Дом, где жили: композитор Чайковский П.И.-в 1848-1849 гг.; художники: в 1886-1892 гг.-Беггров А.К., в 1885-1915 гг.-Волков Е.Е., в 1870-1910 гг.-Клодт М.П., в 1869-1887 гг. -Крамской И.Н., в 1897-1910 гг.-Куинджи А.И., в 1888 г.-Мясоедов Г.Г.";95334.18;112456.87;"Биржевая линия, 18; Биржевой пер., 1; Макарова наб., 10; Волховский пер., 2"
149;Дом, где жили физики: в 1941-1946 гг. - Вавилов С.И., в 1939-1940 гг. - Рождественский Д.С.;95034.41;112659.57;Биржевая линия, 4
150;Ансамбль Стрелки Васильевского острова;95175.45;113188.51;Биржевая пл., восточный берег Василевского острова, от Дворцового моста до Биржевого моста
151;Дом Е.К. Лытиковой;960291.33;112867.95;Блохина ул., 12, лит. А
152;Дом Л.Л. Кенига;95887.62;113158.95;Блохина ул., 2/77, лит. А
153;Дом В.М. Тележкина;96149.47;112374.18;Блохина ул., 33, лит. А (корпус по ул. Блохина)
154;Особняк Кугушевой;98839.37;112364.40;Боковая аллея, 1
155;Дом Гозе с участком парка;98890.02;111879.21;Боковая аллея, 11
156;Дом, где 16 октября 1917 г. ЦК РСДРП(б) принял решение о вооруженном восстании;101567.65;115855.41;Болотная ул., 13
157;Особняк Свиягина с участком парка;98876.75;111955.87;Большая аллея, 10
158;Особняк Фолленвейдера Э.Г.;99083.62;111888.85;Большая аллея, 13
159;Жилой дом;99129.66;111738.70;Большая аллея, 20
160;Здание Петербургских сельскохозяйственных курсов;99170.73;111721.14;Большая аллея, 22
161;Дом Яковенко;99181.77;111679.32;Большая аллея, 24
162;Жилой дом Лихаревой В.С.;98701.07;112115.95;Большая аллея, 6
163;Дом Н.Н. Лейхтенбергского;97386.77;112005.54;Большая Зеленина ул., 28, лит. А
164;Особняк-контора и здание библиотеки лесопильного производства Ф.Я. и Н.Я.Колобовых;97739.57;111851.01;Большая Зеленина ул., 43, лит. Б, В
165;Дом Корсаковых (Я.Ф. Сахара);94602.04;114098.13;Большая Конюшенная ул., 17, лит. А
166;Торговый дом Гвардейского экономического общества (4 лицевых дома с флигелями);94512.67;114054.88;"Большая Конюшенная ул., 21-23; Волынский пер., 1-3; Мойки р. наб., 36"
167;Дом французской реформатской церкви с дворовыми флигелями;94460.92;114070.70;Большая Конюшенная ул., 25
168;Доходные дома фон Дервиза П.П. (великих князей Бориса и Кирилла  Владимировичей);94423.46;114031.16;"Большая Конюшенная ул., 27; Мойки р.наб., 40"
169;Дома Евангелической лютеранской церкви св. Марии;94594.25;114187.53;Большая Конюшенная ул., 4-6-8, лит. Б, В
170;Церковь финская Святой Марии;94539.50;114182.85;Большая Конюшенная ул., 8
171;Дом, где в 1890-1918 гг. жил экономист Даниельсон Н.Ф.;94519.09;114190.79;Большая Конюшенная ул., 8
172;Особняк Т.Э. Сильванской (В.А. Слепцова);94732.43;114119.90;Большая Конюшенная ул., 9, лит. А
173;Дом И.В. Кошанского (А.М. Сомова). Здесь с 1927 г. по 1940 г. жил и работал выдающийся ленинградский зодчий Ной Абрамович Троцкий;94625.07;114112.67;Большая Конюшенная ул., д. 15, лит. А
174;Дом М.Н. и Н.А. Мельцеров;94578.85;114091.07;Большая Конюшенная ул., д. 19/8, лит. А
175;Доходный дом М.И. Пущина;94780.59;114145.76;Большая Конюшенная ул., д. 5, лит. А
176;Дом Е.Ц. Кавоса;97107.61;113657.94;Большая Монетная ул., 10, лит. А
177;Дом Горчакова К.А.;97130.63;113836.11;Большая Монетная ул., 17
178;Дом Горчакова К.А.;97167.45;113936.37;Большая Монетная ул., 19
179;Дом Чичерина Н.И. (Елисеевых) с домом Косиковского А.И.;94270.22;113850.55;"Большая Морская ул., 14, лит. А; Мойки р. наб., 59"
180;Бывш. Русский торговый банк;94204.36;113680.18;Большая Морская ул., 15
181;Дом. Здесь в конце 1906 г. проходили заседания ЦК и ПК РСДРП;94193.01;113818.78;"Большая Морская ул., 16; Кирпичный пер., 8"
182;"Дом французского общества страхования жизни ""Урбэн""";94189.03;113658.69;Большая Морская ул., 17
183;Дом И. Альбрехта (А. Н. Свистунова, Г. Ф. Эйлерса);94162.98;113654.28;Большая Морская ул., 19, лит. А
184;Дом ювелирной фирмы К.Г.Фаберже;94082.17;113661.10;Большая Морская ул., 24
185;Дом, где в 1840 - 1841 гг. жил писатель и философ Герцен А.И.;94105.23;113546.31;"Большая Морская ул., 25; Гороховая ул., 11"
186;Банк для внешней торговли Русский с флигелями;94003.41;113546.75;Большая Морская ул., 32
187;"Дом, где в читальне книжного магазина газеты ""Новости"" в 1895 г. Ленин В.И. встречался с петербургскими марксистами";94022.25;113432.21;Большая Морская ул., 33
188;Азовско-Донской коммерческий банк;94427.34;113788.32;Большая Морская ул., 3-5
189;"Дома страхового общества ""Россия""";93992.34;113391.63;Большая Морская ул., 35, 37
190;Дом Паулуччи А.Ф. Здесь в декабре 1905 - январе 1906 гг. проходили заседания ЦК и ПК РСДРП;93957.31;113514.23;Большая Морская ул., 36
191;Дом Общества поощрения художеств с дворовыми флигелями;93943.60;113488.28;"Большая Морская ул., 38; Мойки р. наб., 83"
192;"Гостиница ""Астория""";93957.43;113342.42;"Большая Морская ул., 39, лит. А; Вознесенский пр., 12"
193;Дом Первого Российского страхового общества;93929.35;113461.91;"Большая Морская ул., 40; Мойки р. наб., 85"
194;Дом Демидова П.Н. (посольство Италии);93872.18;113159.82;Большая Морская ул., 43
195;Дом Демидова П.Н. (Гагариной В.Ф.);93857.91;113131.21;Большая Морская ул., 45
196;Дом Набоковой Е.И. с дворовыми флигелями. Здесь родился и в 1899-1917 гг. жил писатель Набоков В.В.;93844.53;113104.52;Большая Морская ул., 47
197;Дом Салтыковой;93816.15;113045.07;Большая Морская ул., 51
198;Дом Половцова А.А. с дворовыми флигелями;93758.84;113105.99;"Большая Морская ул., 52; Мойки р. наб., 97"
199;Дом Бильдерлинга П.В.;93800.74;113015.95;"Большая Морская ул., 53; Почтамтский пер., 8"
200;Дом Карамзина В.Н. (Коровиной Л.Н.) с дворовыми флигелями;93777.86;112967.25;"Большая Морская ул., 55; Почтамтский пер., 7"
201;Особняк Л.C.Заешниковой;93762.96;112936.44;Большая Морская ул., 57, лит. А
202;Особняк Г.П.Митусова (Э.Ф.Юнкера);93748.66;112907.81;Большая Морская ул., 59, литера А
203;Усадьба Ломоносова М.В.;93720.44;112811.20;"Большая Морская ул., 61; Почтамская ул., 16-18"
204;Казармы лейб-гвардии Конного полка;93654.66;112603.39;"Большая Морская ул., 67; Труда ул., 8-10; Якубовича ул., 26; Конногвардейский пер., 3-5"
205;Казармы Крюковские (Морские);93550.66;112504.13;"Большая Морская ул., 69; Крюкова кан. наб., 2; Труда ул., 7"
206;"Станция метро ""Владимирская"" (с перронным залом)";93352.55;115540.95;Большая Московская ул., 2/1, лит. А
207;Церковь Свято-Троицкая Озерковская;105140.91;113541.48;Большая Озерная ул., 29
208;Дача Андреева с участком;105381.59;113346.26;Большая Озерная ул., 35
209;Здание Подьяческой трансформаторной подстанции городского трамвая;92839.66;113120.27;Большая Подьяческая  ул., д. 27, литера А
210;Здания Декорационного зала и Экипажного заведения Дирекции Императорских театров;92906.27;113203.50;"Большая Подьяческая ул., 20, лит. А; Вознесенский пр., 39, лит. В"
211;Комплекс картонажно-переплетной фабрики товарищества «Отто Кирхнер»;96502.92;112739.47;Большая Пушкарская ул., 10, лит. А, подлитеры А9, А17, А19
212;Особняк Добберт Ю.К. с садом;96567.22;112790.86;Большая Пушкарская ул., 14, лит. А
213;Дом, где в 1892-1918 гг. жил и работал физиолог Павлов Иван Петрович (б. кв.2);96670.74;112869.66;"Большая Пушкарская ул., 18; Введенская ул., 4 (б. кв. 2)"
214;Охтинская съезжая часть;95470.46;118970.90;"Большеохтинский пр., 3; Конторская ул., 1"
215;Дом Н.П. Семенова;92876.27;114444.08;Большой Казачий пер., 4, лит. А
216;Дом М.В. Захарова;92842.36;114430.02;Большой Казачий пер., 6, лит. А
217;Дом, где в 1894-1895 гг. жил Ленин В.И.;92895.95;114373.72;Большой Казачий пер., 7
218;Дом Зайцева (Ф.И. Кривдина);92866.69;114329.75;"Большой Казачий пер., 9; Малый Казачий пер., б/№"
219;"Постройки товарищества ""Железо-бетон""";99278.79;111804.13;Большой Невки р. наб.
220;Жилой дом;99273.68;111867.34;Большой Невки р. наб., 18
221;Ресторан Кюба;99218.64;111535.31;Большой Невки р. наб., 24
222;Евангелическо-лютеранский храм Святой Екатерины;94938.74;112234.16;"Большой пр. В.О., 1; 1-я линия В.О., 20-а, 20-б; Репина ул., 21"
223;Дом Юнкера А.Ф.;94705.56;112127.11;Большой пр. В.О., 10
224;Церковь Божией Матери Милующей;93326.18;109767.27;Большой пр. В.О., 100
225;Рынок Андреевский;94564.78;111989.01;Большой пр. В.О., 18
226;Доходный дом Соловейчика М.М.;94900.78;112199.27;"Большой пр. В.О., 3; Репина ул., 16"
227;Доходный дом Демидова Н.П.;94114.95;111141.16;Большой пр. В.О., 50
228;Госпиталь Финляндского полка;94173.01;110965.06;"Большой пр. В.О., 65; 19-я линия В.О., 16"
229;Дом Юнкера А.Ф.;94728.79;112166.01;"Большой пр. В.О., 8; 3-я линия В.О., 4"
230;Дом Еремеевой А.А.;93598.35;110183.14;Большой пр. В.О., 82
231;Дворец культуры им. Кирова С.М.;94013.55;110258.81;Большой пр. В.О., 83
232;Покровская община сестер милосердия (комплекс построек с садом, оградой и двумя чугунными скульптурами львов);93712.31;110240.91;Большой пр. В.О., 85, лит. Х, Р
233;Городской дом двух начальных училищ имени С.П.Боткина;94044.53;110768.64;Большой пр. В.О., д. 75, лит. Б
