№;Название объекта культурного наследия;Координата, X;Координата, Y;Адрес;X;Y
128;Ограда и сторожка;116885.37;94034.63;5-я Советская ул., 31-33, лит. В;60.1391404971;29.9633969795
129;ДОТ артиллерийский;116381.15;80983.09;600 м юго-западнее здания по адресу: Московское шоссе, д. 33, лит. А;60.1343413658;29.7285510447
130;Дом З.Н. Левина;113612.2991;91690.8288;6-я Красноармейская ул., 15, лит. А;60.1097446994;29.9212866533
131;Храмовый комплекс;111882.18;94747.12;6-я линия В.О., 11;60.0942373718;29.976252161
132;Ограда;111870.22;94713.68;6-я линия В.О., 11;60.0941299143;29.9756512494
133;Церковь Трех Святителей Вселенских;111871.82;94734.55;6-я линия В.О., 11;60.0941443443;29.9760263182
134;Собор святого апостола Андрея Первозванного;111898.22;94706.33;6-я линия В.О., 11;60.0943812042;29.9755189656
135;Дом Троекурова А.И.;111843.42;94769.08;6-я линия В.О., 13;60.0938895516;29.9766470801
136;ДОТ пулемётный;120582.78;82601.20;70 м западнее здания по адресу: Софийская ул., д. 99, лит. Д;60.1721090233;29.7573892626
137;ДОТ № 223 КаУР;97397.62;116035.35;730 м на юго-запад от здания по адресу: Санкт-Петербург, пос. Белоостров, Новое шоссе, д. 53, лит. А;59.9637485266;30.3574394227
138;Дом Е.Е. Глухарева;113712.1002;91602.0671;7-я Красноармейская ул., 7, лит. А;60.1106395016;29.9196884711
139;Подворье Александро-Невской лавры;111958.55;94486.35;7-я линия В.О., 12;60.0949218994;29.971564945
140;Дом А.В.Пеля с аптекой, химической лабораторией и фабрикой;111911.67;94521.98;7-я линия В.О., 16-18, лит. А;60.0945012644;29.9722056666
141;Квартира, в которой с 1897 г. жил и в 1906 г. умер художественный критик Стасов Владимир Васильевич;116824.76;94319.37;"7-я Советская ул., 11; Суворовский пр., 20, кв. 24";60.138597821;29.9685218904
142;Особняк Г.Ф. Горшкова;116959.27;94282.84;7-я Советская ул., 24, лит. А;60.1398049506;29.9678632944
143;Дом, где жили: в 1871-1886 гг. - химик Бутлеров А.М., в 1867-1880 гг. - химик Зинин Н.Н., в 1887-1911 гг. - физикохимик Бекетов Н.Н.;111827.87;94481.96;8-я линия В.О., 17;60.0937489616;29.9714870672
144;Дом, где жили: в 1855-1858 гг. - композитор Чайковский П.И., в 1861-1914 гг. - географ Семенов-Тян-Шанский П.П., в 1851-1881 гг. - экономист Заблоцкий-Десятовский А.П.;111612.12;94887.58;8-я линия В.О., 39;60.0918138763;29.9787781181
145;Дом А.И. Кракау;111589.00;94937.81;8-я линия В.О., 43, лит. А, Б;60.0916065056;29.9796809267
146;Благовещенское Синодальное подворье с двумя флигелями и оградой;111397.29;95240.53;8-я линия В.О., 61;60.0898865415;29.9851218376
147;Сад;111344.85;95412.98;"8-я линия В.О., 67, 71; 7-я линия В.О., 68; Малый пр. В.О., 18, 20 (между домами)";60.0894161829;29.9882209133
148;Ограда с четырьмя воротами;111328.91;95449.26;"8-я линия В.О., 67, 71; 7-я линия В.О., 68; Малый пр. В.О., 18-20";60.0892731706;29.9888729002
149;Церковь Благовещения Пресвятой Богородицы;111362.73;95362.42;"8-я линия В.О., 67, 71; 7-я линия В.О., 68; Малый пр. В.О., между домами 18 и 20";60.0895765796;29.9873123067
150;Церковь;111399.96;95378.63;"8-я линия В.О., 67; 7-я линия В.О., 68";60.0899107665;29.9876034676
151;Дом П.П. Степнова;116957.70;94426.83;8-я Советская ул., 16/25, лит. А;60.1397914673;29.9704547076
152;ДОТ артиллерийский;123705.27;77845.59;900 м северо-западнее пересечения Усть-Ижорского шоссе и Софийской ул.;60.1999495048;29.6714393347
153;Дом, где в 1901-1907 гг. жил шахматист Чигорин М.И.;112928.44;91824.02;9-я Красноармейская ул., 15;60.1036081326;29.9236957635
154;Дом, где в 1912-1913 гг. проходили заседания объединенной социал-демократической фракции IV Государственной думы;117260.45;94278.87;"9-я Советская ул., 39; Мытнинская ул., 24";60.1425081604;29.9677891829
155;Дом Глуховского А.Н. (Зиновьева);111752.53;97600.40;Адмирала Лазарева наб., 10;60.0930730585;30.0275310315
156;Адмиралтейский бульвар;113199.83;94600.48;Адмиралтейская наб.;60.106063449;29.9736071668
157;Ограда;113204.84;94217.18;Адмиралтейская наб.;60.1061068501;29.9667158938
158;Набережная Адмиралтейская;113192.41;94609.96;Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл.;60.105996885;29.9737776582
159;Спуск Дворцовый со львами и пристанью;113327.70;94722.60;Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл.;60.10721157;29.9758018728
160;Спуск Петровский с вазами и пристанью;113020.62;94458.06;Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл.;60.104454409;29.9710480669
161;Набережная;113161.24;94585.69;Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл.;60.1057170306;29.9733415446
162;Дом, где жили: в 1906-1910 гг. физик Голицин Б.Б., в 1890 г., в 1893 г. - композитор Чайковский П.И.;113216.38;94548.22;"Адмиралтейская наб., 10; Черноморский пер., 7";60.1062118011;29.9726674769
163;Главное Адмиралтейство;113290.53;94496.97;"Адмиралтейская наб., 2, 16; Адмиралтейский пр., 1";60.1068771394;29.9717454905
164;Дворец Великого князя Михаила Михайловича;113248.12;94553.25;"Адмиралтейская наб., 8; Черноморский пер., 4, 5; Азовский пер., 1";60.1064967024;29.9727576727
165;Дворец;113253.22;94568.42;"Адмиралтейская наб., 8; Черноморский пер., 5; Азовский пер., 1";60.1065425338;29.9730303751
166;Александровский сад;113126.31;94288.75;Адмиралтейская наб., Адмиралтейский пр., Дворцовая пл., Адмиралтейский просп., Декабристов пл.;60.1054023236;29.9680033183
167;Здания Государственного Дворянского земельного банка;113164.56;94500.20;Адмиралтейская наб., д. 12-14, лит. А;60.1057465079;29.9718045378
168;"Дом, где в 1866-1870 гг. находилась ""Артель художников"" и жил художник Крамской И.Н.";113342.46;94254.57;"Адмиралтейский пр., 10; Вознесенский пр., 2";60.1073422271;29.9673868872
169;Дом Лобанова-Ростовского А.Я.;113276.01;94168.63;"Адмиралтейский пр., 12; Исаакиевская пл., 2; Вознесенский пр., 1";60.1067454126;29.9658423617
170;Дом Фитингофа И.Ф. (губернские присутственные места);113458.50;94344.45;"Адмиралтейский пр., 6; Гороховая ул., 2";60.1083841353;29.9690018871
171;Ограда;112972.15;94353.14;Адмиралтейский пр., Декабристов пл.;60.1040189368;29.9691622458
172;Сад;113192.62;94324.24;Адмиралтейский пр., Декабристов пл.;60.105997643;29.9686407987
173;"Статуя ""Геракл Фарнезский""";113160.71;94284.99;Адмиралтейский пр., Декабристов пл.;60.1057110644;29.9679354175
174;"Статуя ""Флора Фарнезская""";113495.66;94545.82;Адмиралтейский пр., Декабристов пл.;60.1087184699;29.972622229
175;Фонтан;113370.76;94384.35;Адмиралтейский пр., Декабристов пл.;60.1075967924;29.9697200155
176;Бюст географа Пржевальского Н.М.;113254.55;94297.62;"Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл.";60.1065533807;29.9681616667
177;Бюст композитора Глинки М.И.;113364.65;94406.05;"Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл.";60.1075420415;29.9701102211
178;Бюст писателя Гоголя Н.В.;113487.35;94478.84;"Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл.";60.1086436267;29.9714179854
179;Бюст поэта Жуковского В.А.;113388.77;94400.22;"Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл.";60.1077585066;29.9700052022
180;Бюст поэта Лермонтова М.Ю.;113352.17;94371.94;"Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл.";60.1074298862;29.9694970453
181;Ограда;112043.79;93563.26;Адмиралтейского кан. наб., 33;60.0956823372;29.9549735615
182;Сад;112027.64;93587.03;"Адмиралтейского кан. наб., 33; Ново-Адмиралтейского кан. наб., 6";60.095537528;29.9554009771
183;Дача;112834.01;99843.31;Академика Крылова ул., 4;60.1027654429;30.0678595858
184;Ограда с воротами;112885.36;99783.28;"Академика Крылова ул., 4; Приморский пр., 3; Савушкина ул., 2";60.1032268817;30.0667813635
185;Сад;112805.05;99789.40;"Академика Крылова ул., 4; Приморский пр., 3; Савушкина ул., 2";60.1025060038;30.0668899277
186;Ограда по Приморскому пр.;112767.54;99656.17;"Академика Крылова ул., 4; Приморский пр., 3; Савушкина ул., 2";60.1021705168;30.0644942323
187;Дача Салтыковых;112765.61;99820.19;"Академика Крылова ул., 4; Савушкина ул., 2, 4, 6, 8, 10; Приморский пр., 3";60.1021517302;30.0674427104
188;Квартира, в которой жили в 1924-1934 гг. химик Лебедев Сергей Васильевич, в 1924-1955 гг. художник-график Остроумова-Лебедева Анна Петровна;115881.60;97142.96;Академика Лебедева ул., 10-г, кв. 4;60.1301349459;30.0193315299
189;Академия Императорская Медико-хирургическая (Военно-Медицинская);115493.30;96698.21;Академика Лебедева ул., 2, 4, 6, 8, Боткинская ул., 8, 10, 12, 13, 17, 20, 23, Пироговская наб., 1, 3, Большой Сампсониевский пр., 1, 3,  5, 11, Комиссара Смирнова ул., 10, 12, лит.А., Лесной просп., 2, Клиническая ул., 5, 9;60.1266506812;30.0113285013
190;Здания Императорской Медико-хирургической академии;115944.65;97056.87;"Академика Лебедева ул., 37а, литера И; 37а, литера А; 37б, литера Ж";60.1307010634;30.0177829162
191;Корпус кухонный военно-фельдшерской школы;115578.39;96400.92;Академика Лебедева ул., 4;60.1274147438;30.0059804145
192;Школа военно-фельдшерская;115615.46;96408.40;Академика Лебедева ул., 4;60.1277474587;30.0061150413
193;Дом жилой и прачечная;115581.88;96524.66;Академика Лебедева ул., 4, корп. 2, 3;60.1274459531;30.0082065448
194;"Фонтан ""Гигиея""";115697.52;96664.06;Академика Лебедева ул., 6;60.1284837024;30.010714728
195;Ограда парадного двора;115728.50;96656.92;Академика Лебедева ул., 6;60.1287617726;30.0105863601
196;Главное здание с садом парадного двора;115667.92;96678.79;"Академика Лебедева ул., 6; Боткинская ул., 8";60.1282180072;30.0109796475
197;Анатомический институт;115952.47;97054.35;Академика Лебедева ул., дом 37а, литера А;60.1307712576;30.0177376133
198;Главное здание Ветеринарного института (Хирургический музей);115858.09;96938.27;Академика Лебедева ул., дом 37а, литера И;60.1299244121;30.015648688
199;Часовня при Анатомическом институте;115959.64;97133.32;Академика Лебедева ул., дом 37б, литера Ж;60.1308354164;30.0191584908
200;Ограда;113359.73;98850.97;Академика Павлова ул., 12;60.1074919531;30.0500275303
201;Библиотека;113530.00;98945.19;Академика Павлова ул., 12;60.1090195631;30.0517239388
202;Лаборатория общей патологии;113473.08;98642.79;Академика Павлова ул., 12;60.1085106803;30.0462859873
203;Лаборатория при физиологическом отделении;113428.60;98890.55;Академика Павлова ул., 12;60.1081098261;30.0507401031
204;Отделение физиологическое;113407.39;98892.54;Академика Павлова ул., 12;60.1079194421;30.0507755913
205;Лаборатория химическая;113465.56;98880.40;Академика Павлова ул., 12;60.1084416299;30.0505581141
206;Корпус машинный с водонапорной башней;113394.74;98818.38;Академика Павлова ул., 12;60.1078064043;30.0494420485
207;Деревянное здание оранжереи у дачи В.Ф.Громова с садом, оградой;113111.70;98792.17;Академика Павлова ул., 13;60.1052661532;30.048967051
